                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.59868,                0.62726,                0.89832,                      1,                0.97064,                  0.995,                0.86697,                0.59469,                 0.7896,                0.87517,             0.00065091,             0.00065091,             0.00065091
                    112,                0.65297,                0.80328,                0.91406,                      1,                0.97064,                  0.995,                0.86697,                0.59469,                 0.7896,                0.87517,             0.00064384,             0.00064384,             0.00064384
                    113,                0.64212,                 0.6342,                0.94643,                      1,                0.97064,                  0.995,                0.86697,                0.59469,                 0.7896,                0.87517,             0.00063676,             0.00063676,             0.00063676
                    114,                0.69017,                0.81023,                0.95827,                      1,                0.97064,                  0.995,                0.86697,                0.59469,                 0.7896,                0.87517,             0.00062969,             0.00062969,             0.00062969
                    115,                0.63265,                0.88342,                0.99033,                0.98917,                 0.9903,                  0.995,                0.87995,                 0.6282,                 0.7767,                0.89142,             0.00062262,             0.00062262,             0.00062262
                    116,                0.66956,                0.79898,                0.90851,                0.98917,                 0.9903,                  0.995,                0.87995,                 0.6282,                 0.7767,                0.89142,             0.00061554,             0.00061554,             0.00061554
                    117,                0.75594,                0.78555,                 1.0044,                0.98917,                 0.9903,                  0.995,                0.87995,                 0.6282,                 0.7767,                0.89142,             0.00060847,             0.00060847,             0.00060847
                    118,                0.85026,                0.91516,                 1.0962,                0.98917,                 0.9903,                  0.995,                0.87995,                 0.6282,                 0.7767,                0.89142,             0.00060139,             0.00060139,             0.00060139
                    119,                0.62399,                0.66995,                0.93185,                 0.9542,                0.99461,                  0.995,                0.89268,                0.57002,                0.77189,                0.87766,             0.00059432,             0.00059432,             0.00059432
                    120,                 0.5861,                0.71631,                0.90522,                 0.9542,                0.99461,                  0.995,                0.89268,                0.57002,                0.77189,                0.87766,             0.00058725,             0.00058725,             0.00058725
                    121,                0.58047,                 0.7772,                0.86309,                 0.9542,                0.99461,                  0.995,                0.89268,                0.57002,                0.77189,                0.87766,             0.00058017,             0.00058017,             0.00058017
                    122,                0.64435,                0.76684,                0.93051,                 0.9542,                0.99461,                  0.995,                0.89268,                0.57002,                0.77189,                0.87766,              0.0005731,              0.0005731,              0.0005731
                    123,                0.56599,                0.65825,                0.89909,                0.94224,                0.98089,                  0.995,                0.89137,                0.54249,                0.81342,                0.87363,             0.00056603,             0.00056603,             0.00056603
                    124,                0.59986,                 0.7094,                0.89759,                0.94224,                0.98089,                  0.995,                0.89137,                0.54249,                0.81342,                0.87363,             0.00055895,             0.00055895,             0.00055895
                    125,                0.60082,                0.68304,                 0.9203,                0.94224,                0.98089,                  0.995,                0.89137,                0.54249,                0.81342,                0.87363,             0.00055188,             0.00055188,             0.00055188
                    126,                0.57146,                0.67061,                0.94581,                0.94224,                0.98089,                  0.995,                0.89137,                0.54249,                0.81342,                0.87363,             0.00054481,             0.00054481,             0.00054481
                    127,                0.58883,                0.69738,                 0.9513,                0.91086,                0.95507,                  0.995,                0.89108,                0.54454,                0.78824,                0.87553,             0.00053773,             0.00053773,             0.00053773
                    128,                0.57157,                0.63182,                0.87823,                0.91086,                0.95507,                  0.995,                0.89108,                0.54454,                0.78824,                0.87553,             0.00053066,             0.00053066,             0.00053066
                    129,                0.53232,                0.61476,                0.89803,                0.91086,                0.95507,                  0.995,                0.89108,                0.54454,                0.78824,                0.87553,             0.00052359,             0.00052359,             0.00052359
                    130,                0.63602,                0.67484,                0.92067,                0.91086,                0.95507,                  0.995,                0.89108,                0.54454,                0.78824,                0.87553,             0.00051651,             0.00051651,             0.00051651
                    131,                0.67659,                0.66644,                0.92577,                 0.8913,                0.94923,                  0.995,                0.89354,                0.54833,                 0.7529,                 0.8723,             0.00050944,             0.00050944,             0.00050944
                    132,                0.57445,                0.61247,                0.89658,                 0.8913,                0.94923,                  0.995,                0.89354,                0.54833,                 0.7529,                 0.8723,             0.00050236,             0.00050236,             0.00050236
                    133,                0.58964,                0.64667,                0.92559,                 0.8913,                0.94923,                  0.995,                0.89354,                0.54833,                 0.7529,                 0.8723,             0.00049529,             0.00049529,             0.00049529
                    134,                0.60316,                0.64457,                0.93611,                 0.8913,                0.94923,                  0.995,                0.89354,                0.54833,                 0.7529,                 0.8723,             0.00048822,             0.00048822,             0.00048822
                    135,                0.53525,                0.61045,                0.91096,                0.96687,                0.95067,                  0.995,                0.91961,                0.55036,                0.67686,                0.85985,             0.00048114,             0.00048114,             0.00048114
                    136,                0.55503,                0.78952,                0.94207,                0.96687,                0.95067,                  0.995,                0.91961,                0.55036,                0.67686,                0.85985,             0.00047407,             0.00047407,             0.00047407
                    137,                0.63251,                0.67949,                 0.9356,                0.96687,                0.95067,                  0.995,                0.91961,                0.55036,                0.67686,                0.85985,               0.000467,               0.000467,               0.000467
                    138,                0.55305,                0.62378,                0.84806,                0.96687,                0.95067,                  0.995,                0.91961,                0.55036,                0.67686,                0.85985,             0.00045992,             0.00045992,             0.00045992
                    139,                0.62295,                0.65246,                0.94863,                0.98483,                0.95439,                  0.995,                0.91717,                0.55049,                0.61496,                 0.8557,             0.00045285,             0.00045285,             0.00045285
                    140,                0.54999,                0.61764,                0.86521,                0.98483,                0.95439,                  0.995,                0.91717,                0.55049,                0.61496,                 0.8557,             0.00044578,             0.00044578,             0.00044578
                    141,                0.56075,                0.59123,                0.88791,                0.98483,                0.95439,                  0.995,                0.91717,                0.55049,                0.61496,                 0.8557,              0.0004387,              0.0004387,              0.0004387
                    142,                0.61177,                0.67415,                0.89172,                0.98483,                0.95439,                  0.995,                0.91717,                0.55049,                0.61496,                 0.8557,             0.00043163,             0.00043163,             0.00043163
                    143,                0.55231,                0.61845,                0.88661,                0.99661,                0.95556,                  0.995,                0.91047,                0.55142,                0.57386,                0.85871,             0.00042456,             0.00042456,             0.00042456
                    144,                0.65024,                 0.6453,                0.90619,                0.99661,                0.95556,                  0.995,                0.91047,                0.55142,                0.57386,                0.85871,             0.00041748,             0.00041748,             0.00041748
                    145,                0.61751,                0.66901,                0.89155,                0.99661,                0.95556,                  0.995,                0.91047,                0.55142,                0.57386,                0.85871,             0.00041041,             0.00041041,             0.00041041
                    146,                 0.5559,                0.59326,                0.88703,                0.99661,                0.95556,                  0.995,                0.91047,                0.55142,                0.57386,                0.85871,             0.00040334,             0.00040334,             0.00040334
                    147,                0.57244,                0.73596,                0.87015,                0.97279,                0.99261,                  0.995,                0.91016,                0.56133,                0.54558,                 0.8654,             0.00039626,             0.00039626,             0.00039626
                    148,                0.49365,                0.56793,                0.86496,                0.97279,                0.99261,                  0.995,                0.91016,                0.56133,                0.54558,                 0.8654,             0.00038919,             0.00038919,             0.00038919
                    149,                0.60999,                0.61362,                0.91474,                0.97279,                0.99261,                  0.995,                0.91016,                0.56133,                0.54558,                 0.8654,             0.00038211,             0.00038211,             0.00038211
                    150,                0.59841,                0.61838,                0.93514,                0.97279,                0.99261,                  0.995,                0.91016,                0.56133,                0.54558,                 0.8654,             0.00037504,             0.00037504,             0.00037504
                    151,                0.56753,                0.65292,                0.92191,                0.98687,                0.99306,                  0.995,                0.89596,                0.56368,                 0.5424,                0.86675,             0.00036797,             0.00036797,             0.00036797
                    152,                0.54173,                0.57424,                0.88097,                0.98687,                0.99306,                  0.995,                0.89596,                0.56368,                 0.5424,                0.86675,             0.00036089,             0.00036089,             0.00036089
                    153,                0.54197,                0.54955,                0.87972,                0.98687,                0.99306,                  0.995,                0.89596,                0.56368,                 0.5424,                0.86675,             0.00035382,             0.00035382,             0.00035382
                    154,                0.57308,                0.60558,                0.87785,                0.98687,                0.99306,                  0.995,                0.89596,                0.56368,                 0.5424,                0.86675,             0.00034675,             0.00034675,             0.00034675
