                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.74993,                0.44156,                 1.0424,                0.89377,                0.84982,                 0.9179,                 0.6383,                  1.241,                 0.6215,                 1.6716,             0.00068505,             0.00068505,             0.00068505
                    121,                0.72919,                0.43107,                 1.0377,                0.91264,                0.86948,                0.91834,                0.63292,                 1.2579,                0.58736,                 1.5854,              0.0006768,              0.0006768,              0.0006768
                    122,                0.72988,                0.44731,                 1.0335,                0.93116,                0.87501,                0.93134,                0.63927,                 1.2495,                0.57973,                 1.6033,             0.00066855,             0.00066855,             0.00066855
                    123,                0.71891,                0.43353,                 1.0345,                0.91868,                0.87266,                0.93244,                0.63154,                 1.2439,                0.59655,                 1.6103,              0.0006603,              0.0006603,              0.0006603
                    124,                0.71614,                0.42652,                 1.0277,                0.88685,                0.87253,                0.92612,                0.65326,                 1.2129,                0.64691,                 1.6216,             0.00065205,             0.00065205,             0.00065205
                    125,                 0.7248,                0.43757,                 1.0493,                0.92531,                0.86497,                 0.9174,                0.63141,                 1.2522,                  0.639,                 1.6363,              0.0006438,              0.0006438,              0.0006438
                    126,                0.72621,                0.42393,                 1.0342,                0.92987,                 0.8409,                0.91922,                0.63194,                 1.2106,                0.64016,                  1.603,             0.00063554,             0.00063554,             0.00063554
                    127,                0.72351,                0.42257,                 1.0334,                0.93584,                0.81116,                0.91643,                0.62645,                 1.2606,                0.60561,                 1.6304,             0.00062729,             0.00062729,             0.00062729
                    128,                0.71327,                0.42202,                 1.0391,                0.95604,                0.80211,                0.91859,                 0.6315,                 1.2416,                0.57622,                 1.6161,             0.00061904,             0.00061904,             0.00061904
                    129,                0.71343,                0.42477,                 1.0236,                0.93035,                0.85319,                0.92794,                0.64004,                 1.2251,                0.60661,                 1.5783,             0.00061079,             0.00061079,             0.00061079
                    130,                0.70675,                0.42112,                  1.031,                0.88239,                0.87948,                0.91005,                0.64016,                 1.2546,                0.61814,                 1.6518,             0.00060254,             0.00060254,             0.00060254
                    131,                0.72319,                0.43104,                 1.0354,                0.87806,                0.88574,                0.91649,                0.64292,                 1.2322,                0.60173,                 1.6041,             0.00059429,             0.00059429,             0.00059429
